Date,tmr,microrev,mridv3l,mridv3s
11/07/2012,48270,44795,102934,101890
12/07/2012,48440,44789,103678,101890
13/07/2012,48515,44789,103353,101638
16/07/2012,48515,45084,103372,101638
17/07/2012,48494,45129,103327,101638
18/07/2012,48521,45445,103402,102189
19/07/2012,48585,45404,103402,101564
20/07/2012,48581,45315,103214,101496
23/07/2012,48657,45391,103703,101496
24/07/2012,48516,45368,102264,100943
25/07/2012,48488,45368,102083,100943
26/07/2012,48481,45612,101944,100706
27/07/2012,48732,45777,101944,100095
30/07/2012,48797,45777,101738,100425
31/07/2012,48850,45645,101598,100425
01/08/2012,48774,45128,101473,100976
02/08/2012,48901,45128,101478,100976
03/08/2012,49087,45128,101478,100788
06/08/2012,49087,45128,101478,100621
07/08/2012,49087,45128,101478,100629
08/08/2012,49073,45173,101478,100591
09/08/2012,48831,45173,101303,100304
10/08/2012,48950,45287,100741,100215
13/08/2012,48889,45287,100817,100215
14/08/2012,48889,45152,100817,100215
15/08/2012,48889,45152,100817,100215
16/08/2012,48889,45347,100817,100208
17/08/2012,48889,45749,100817,100355
20/08/2012,48889,44990,100817,100769
21/08/2012,48889,44910,100817,100682
22/08/2012,48895,45098,101037,100808
23/08/2012,48931,45142,101054,100808
24/08/2012,49007,45125,101257,100835
27/08/2012,49100,45125,101257,100835
28/08/2012,49100,45761,101257,100835
29/08/2012,49080,45761,101257,100693
30/08/2012,49033,45612,101316,100656
31/08/2012,49033,47152,101316,100656
04/09/2012,49033,47297,101316,100656
05/09/2012,49033,48307,101831,101148
06/09/2012,49033,48235,101831,101200
07/09/2012,49353,48194,101418,100978
10/09/2012,49379,48154,101418,100716
11/09/2012,49433,48316,101418,100805
12/09/2012,49468,48267,101418,101258
13/09/2012,49558,48275,101418,101132
14/09/2012,49441,48320,101418,101864
17/09/2012,49499,48219,101418,102064
18/09/2012,49614,48219,101389,102043
19/09/2012,49562,48219,101515,102262
20/09/2012,49516,48245,101214,102262
21/09/2012,49571,48245,100676,102262
24/09/2012,49616,48585,100145,102154
25/09/2012,49539,48543,99927,102154
26/09/2012,49871,48467,100149,102154
27/09/2012,50194,48467,100149,102154
28/09/2012,50368,48347,100200,102217
01/10/2012,50422,48347,100200,102217
02/10/2012,50366,48289,100200,102261
03/10/2012,50539,48462,100200,102261
04/10/2012,50902,48430,100119,101881
05/10/2012,50892,48430,100159,102272
08/10/2012,50892,48559,100214,102272
09/10/2012,50706,48334,100876,101919
10/10/2012,50812,48606,101183,101919
11/10/2012,51187,48606,101128,102377
12/10/2012,51377,48315,101075,102377
15/10/2012,51589,48315,101508,102377
16/10/2012,51589,48315,101508,102377
17/10/2012,51589,48315,101508,102294
18/10/2012,51583,48230,101545,102294
19/10/2012,51446,47298,101139,102294
22/10/2012,51494,47298,100114,102294
23/10/2012,51525,47238,101071,102153
24/10/2012,51337,47304,100818,102226
25/10/2012,51217,47304,101068,102226
26/10/2012,51309,47265,101134,102335
29/10/2012,51309,47265,101134,102335
30/10/2012,51309,47265,101134,102335
31/10/2012,51575,47523,101134,101357
01/11/2012,51592,47591,101759,101317
02/11/2012,51589,47878,101990,102053
05/11/2012,51613,47878,102156,102053
06/11/2012,51546,47878,102156,101763
07/11/2012,51566,48310,103175,101763
08/11/2012,51365,48310,103183,102292
